5:9657.0;6:9657.0;7:9657.0;8:9657.0;9:2641.0;msgKey:taiwan_future_MTXM5_1s@1434345640574;Date:1434345640574;KBAR:taiwan_future_MTXM5_1s_1434345640574
5:9655.0;6:9655.0;7:9655.0;8:9655.0;9:2642.0;msgKey:taiwan_future_MTXM5_1s@1434345640574;Date:1434345640574;KBAR:taiwan_future_MTXM5_1s_1434345640574
5:9657.0;6:9657.0;7:9657.0;8:9657.0;9:2662.0;msgKey:taiwan_future_MTXM5_1s@1434345640574;Date:1434345640574;KBAR:taiwan_future_MTXM5_1s_1434345640574
5:9657.0;6:9657.0;7:9657.0;8:9657.0;9:2663.0;msgKey:taiwan_future_MTXM5_1s@1434345640576;Date:1434345640576;KBAR:taiwan_future_MTXM5_1s_1434345640576
5:9656.0;6:9656.0;7:9656.0;8:9656.0;9:2664.0;msgKey:taiwan_future_MTXM5_1s@1434345640576;Date:1434345640576;KBAR:taiwan_future_MTXM5_1s_1434345640576
5:9655.0;6:9655.0;7:9655.0;8:9655.0;9:2665.0;msgKey:taiwan_future_MTXM5_1s@1434345640576;Date:1434345640576;KBAR:taiwan_future_MTXM5_1s_1434345640576
5:9655.0;6:9655.0;7:9655.0;8:9655.0;9:2666.0;msgKey:taiwan_future_MTXM5_1s@1434345640576;Date:1434345640576;KBAR:taiwan_future_MTXM5_1s_1434345640576
5:9657.0;6:9657.0;7:9657.0;8:9657.0;9:2679.0;msgKey:taiwan_future_MTXM5_1s@1434345640576;Date:1434345640576;KBAR:taiwan_future_MTXM5_1s_1434345640576
5:9657.0;6:9657.0;7:9657.0;8:9657.0;9:5361.0;msgKey:taiwan_future_MTXM5_1s@1434345640576;Date:1434345640576;KBAR:taiwan_future_MTXM5_1s_1434345640576
5:9655.0;6:9655.0;7:9655.0;8:9655.0;9:2683.0;msgKey:taiwan_future_MTXM5_1s@1434345640576;Date:1434345640576;KBAR:taiwan_future_MTXM5_1s_1434345640576
5:9655.0;6:9655.0;7:9655.0;8:9655.0;9:2684.0;msgKey:taiwan_future_MTXM5_1s@1434345640576;Date:1434345640576;KBAR:taiwan_future_MTXM5_1s_1434345640576
5:9655.0;6:9655.0;7:9655.0;8:9655.0;9:2686.0;msgKey:taiwan_future_MTXM5_1s@1434345640576;Date:1434345640576;KBAR:taiwan_future_MTXM5_1s_1434345640576
5:9655.0;6:9655.0;7:9655.0;8:9655.0;9:2688.0;msgKey:taiwan_future_MTXM5_1s@1434345640576;Date:1434345640576;KBAR:taiwan_future_MTXM5_1s_1434345640576
5:9656.0;6:9656.0;7:9656.0;8:9656.0;9:2689.0;msgKey:taiwan_future_MTXM5_1s@1434345640576;Date:1434345640576;KBAR:taiwan_future_MTXM5_1s_1434345640576
5:9655.0;6:9657.0;7:9657.0;8:9655.0;9:5396.0;msgKey:taiwan_future_MTXM5_1s@1434345640576;Date:1434345640576;KBAR:taiwan_future_MTXM5_1s_1434345640576
5:9655.0;6:9655.0;7:9655.0;8:9655.0;9:2701.0;msgKey:taiwan_future_MTXM5_1s@1434345640576;Date:1434345640576;KBAR:taiwan_future_MTXM5_1s_1434345640576
5:9656.0;6:9656.0;7:9656.0;8:9656.0;9:2702.0;msgKey:taiwan_future_MTXM5_1s@1434345640576;Date:1434345640576;KBAR:taiwan_future_MTXM5_1s_1434345640576
5:9656.0;6:9656.0;7:9656.0;8:9656.0;9:2707.0;msgKey:taiwan_future_MTXM5_1s@1434345640576;Date:1434345640576;KBAR:taiwan_future_MTXM5_1s_1434345640576
5:9656.0;6:9656.0;7:9656.0;8:9656.0;9:5418.0;msgKey:taiwan_future_MTXM5_1s@1434345640576;Date:1434345640576;KBAR:taiwan_future_MTXM5_1s_1434345640576
5:9656.0;6:9656.0;7:9656.0;8:9656.0;9:2713.0;msgKey:taiwan_future_MTXM5_1s@1434345640576;Date:1434345640576;KBAR:taiwan_future_MTXM5_1s_1434345640576
5:9656.0;6:9656.0;7:9656.0;8:9656.0;9:5434.0;msgKey:taiwan_future_MTXM5_1s@1434345640576;Date:1434345640576;KBAR:taiwan_future_MTXM5_1s_1434345640576
5:9656.0;6:9656.0;7:9656.0;8:9656.0;9:2721.0;msgKey:taiwan_future_MTXM5_1s@1434345640576;Date:1434345640576;KBAR:taiwan_future_MTXM5_1s_1434345640576
5:9656.0;6:9656.0;7:9656.0;8:9656.0;9:2722.0;msgKey:taiwan_future_MTXM5_1s@1434345640577;Date:1434345640577;KBAR:taiwan_future_MTXM5_1s_1434345640577
5:9656.0;6:9656.0;7:9656.0;8:9656.0;9:5449.0;msgKey:taiwan_future_MTXM5_1s@1434345640577;Date:1434345640577;KBAR:taiwan_future_MTXM5_1s_1434345640577
5:9657.0;6:9657.0;7:9657.0;8:9657.0;9:2727.0;msgKey:taiwan_future_MTXM5_1s@1434345640578;Date:1434345640578;KBAR:taiwan_future_MTXM5_1s_1434345640578
5:9657.0;6:9657.0;7:9657.0;8:9657.0;9:2728.0;msgKey:taiwan_future_MTXM5_1s@1434345640579;Date:1434345640579;KBAR:taiwan_future_MTXM5_1s_1434345640579
5:9657.0;6:9657.0;7:9657.0;8:9657.0;9:5462.0;msgKey:taiwan_future_MTXM5_1s@1434345640579;Date:1434345640579;KBAR:taiwan_future_MTXM5_1s_1434345640579
5:9657.0;6:9657.0;7:9657.0;8:9657.0;9:2734.0;msgKey:taiwan_future_MTXM5_1s@1434345640579;Date:1434345640579;KBAR:taiwan_future_MTXM5_1s_1434345640579
5:9656.0;6:9656.0;7:9656.0;8:9656.0;9:2735.0;msgKey:taiwan_future_MTXM5_1s@1434345640579;Date:1434345640579;KBAR:taiwan_future_MTXM5_1s_1434345640579
5:9656.0;6:9656.0;7:9656.0;8:9656.0;9:8216.0;msgKey:taiwan_future_MTXM5_1s@1434345640580;Date:1434345640580;KBAR:taiwan_future_MTXM5_1s_1434345640580
5:9656.0;6:9656.0;7:9656.0;8:9656.0;9:8227.0;msgKey:taiwan_future_MTXM5_1s@1434345640581;Date:1434345640581;KBAR:taiwan_future_MTXM5_1s_1434345640581
5:9656.0;6:9657.0;7:9656.0;8:9656.0;9:8243.0;msgKey:taiwan_future_MTXM5_1s@1434345640581;Date:1434345640581;KBAR:taiwan_future_MTXM5_1s_1434345640581
5:9657.0;6:9657.0;7:9657.0;8:9657.0;9:2755.0;msgKey:taiwan_future_MTXM5_1s@1434345640583;Date:1434345640583;KBAR:taiwan_future_MTXM5_1s_1434345640583
5:9657.0;6:9657.0;7:9657.0;8:9657.0;9:5515.0;msgKey:taiwan_future_MTXM5_1s@1434345640583;Date:1434345640583;KBAR:taiwan_future_MTXM5_1s_1434345640583
5:9657.0;6:9659.0;7:9659.0;8:9657.0;9:13827.0;msgKey:taiwan_future_MTXM5_1s@1434345640583;Date:1434345640583;KBAR:taiwan_future_MTXM5_1s_1434345640583
5:9659.0;6:9660.0;7:9659.0;8:9659.0;9:13874.0;msgKey:taiwan_future_MTXM5_1s@1434345640583;Date:1434345640583;KBAR:taiwan_future_MTXM5_1s_1434345640583
5:9660.0;6:9660.0;7:9660.0;8:9660.0;9:2798.0;msgKey:taiwan_future_MTXM5_1s@1434345640583;Date:1434345640583;KBAR:taiwan_future_MTXM5_1s_1434345640583
5:9661.0;6:9661.0;7:9661.0;8:9661.0;9:2809.0;msgKey:taiwan_future_MTXM5_1s@1434345640583;Date:1434345640583;KBAR:taiwan_future_MTXM5_1s_1434345640583
5:9661.0;6:9661.0;7:9661.0;8:9661.0;9:5632.0;msgKey:taiwan_future_MTXM5_1s@1434345640583;Date:1434345640583;KBAR:taiwan_future_MTXM5_1s_1434345640583
5:9662.0;6:9662.0;7:9662.0;8:9662.0;9:2826.0;msgKey:taiwan_future_MTXM5_1s@1434345640583;Date:1434345640583;KBAR:taiwan_future_MTXM5_1s_1434345640583
